query,entrezgene,name,symbol,alias,taxid,MGI
68982,68982,RIKEN cDNA 1500015A07 gene,1500015A07Rik,,10090,MGI:1916232
67912,67912,RIKEN cDNA 1600012H06 gene,1600012H06Rik,,10090,MGI:1915162
72244,72244,RIKEN cDNA 1600014C10 gene,1600014C10Rik,,10090,MGI:1919494
69797,69797,RIKEN cDNA 1600029I14 gene,1600029I14Rik,,10090,MGI:1917047
665268,665268,ribosomal protein L17 pseudogene,1600029O15Rik,,10090,MGI:3045362
75462,75462,RIKEN cDNA 1700001C19 gene,1700001C19Rik,,10090,MGI:1922712
71826,71826,RIKEN cDNA 1700001F09 gene,1700001F09Rik,Gm10377,10090,MGI:1919076
67503,67503,RIKEN cDNA 1700001G17 gene,1700001G17Rik,,10090,MGI:1914753
69282,69282,RIKEN cDNA 1700001J03 gene,1700001J03Rik,,10090,MGI:1916532
72224,72224,ring finger protein 19A pseudogene,1700001J11Rik,,10090,MGI:1919474
66323,66323,RIKEN cDNA 1700001K19 gene,1700001K19Rik,,10090,MGI:1913573
69319,69319,RIKEN cDNA 1700001K23 gene,1700001K23Rik,,10090,MGI:1916569
69291,69291,RIKEN cDNA 1700001L05 gene,1700001L05Rik,,10090,MGI:1916541
69315,69315,RIKEN cDNA 1700001L19 gene,1700001L19Rik,,10090,MGI:1916565
73598,73598,RIKEN cDNA 1700001O22 gene,1700001O22Rik,"1700113K14Rik, 4930549G18Rik",10090,MGI:1923631
72215,72215,RIKEN cDNA 1700001P01 gene,1700001P01Rik,,10090,MGI:1919465
71837,71837,RIKEN cDNA 1700003E16 gene,1700003E16Rik,,10090,MGI:1919087
75480,75480,RIKEN cDNA 1700003F12 gene,1700003F12Rik,,10090,MGI:1922730
69350,69350,RIKEN cDNA 1700003G18 gene,1700003G18Rik,2610312K03Rik,10090,MGI:1916600
384775,384775,RIKEN cDNA 1700003H04 gene,1700003H04Rik,"4930538K10Rik, 4933400D22Rik",10090,MGI:1923637
71824,71824,RIKEN cDNA 1700006A11 gene,1700006A11Rik,,10090,MGI:1919074
629159,629159,RIKEN cDNA 1700008J07 gene,1700008J07Rik,,10090,MGI:1916610
69349,69349,RIKEN cDNA 1700008O03 gene,1700008O03Rik,,10090,MGI:1916599
69347,69347,RIKEN cDNA 1700008P02 gene,1700008P02Rik,,10090,MGI:1916597
75188,75188,RIKEN cDNA 1700009J07 gene,1700009J07Rik,4930535B06Rik,10090,MGI:1914938
75471,75471,RIKEN cDNA 1700009N14 gene,1700009N14Rik,,10090,MGI:1922721
75485,75485,RIKEN cDNA 1700010B08 gene,1700010B08Rik,,10090,MGI:1922735
76386,76386,RIKEN cDNA 1700010D01 gene,1700010D01Rik,,10090,MGI:1923636
66931,66931,RIKEN cDNA 1700010I14 gene,1700010I14Rik,,10090,MGI:1914181
67687,67687,RIKEN cDNA 1700011L22 gene,1700011L22Rik,,10090,MGI:1914937
76382,76382,RIKEN cDNA 1700012A03 gene,1700012A03Rik,,10090,MGI:1923632
69324,69324,RIKEN cDNA 1700012B07 gene,1700012B07Rik,1700069D21Rik,10090,MGI:1916574
69325,69325,RIKEN cDNA 1700012B09 gene,1700012B09Rik,1700007P19Rik,10090,MGI:1916575
76921,76921,RIKEN cDNA 1700013D24 gene,1700013D24Rik,,10090,MGI:1924171
69380,69380,RIKEN cDNA 1700013G24 gene,1700013G24Rik,,10090,MGI:1916630
75514,75514,RIKEN cDNA 1700013H16 gene,1700013H16Rik,"Slx2, Xlr6",10090,MGI:1922764
69428,69428,RIKEN cDNA 1700016C15 gene,1700016C15Rik,,10090,MGI:1916678
74218,74218,RIKEN cDNA 1700016H13 gene,1700016H13Rik,,10090,MGI:1921468
74230,74230,RIKEN cDNA 1700016K19 gene,1700016K19Rik,Liat1,10090,MGI:1921480
74211,74211,RIKEN cDNA 1700017B05 gene,1700017B05Rik,D9Ertd278e,10090,MGI:1921461
66605,66605,RIKEN cDNA 1700017N19 gene,1700017N19Rik,,10090,MGI:1913855
71307,71307,RIKEN cDNA 1700018A04 gene,1700018A04Rik,"4930551G20Rik, 4933439J11Rik",10090,MGI:1916631
69391,69391,RIKEN cDNA 1700018A14 gene,1700018A14Rik,,10090,MGI:1916641
76405,76405,RIKEN cDNA 1700018B08 gene,1700018B08Rik,1700084O22Rik,10090,MGI:1923655
66332,66332,enhancer of rudimentary homolog pseudogene,1700018B24Rik,,10090,MGI:1913582
69396,69396,RIKEN cDNA 1700018F24 gene,1700018F24Rik,,10090,MGI:1916646
67329,67329,RIKEN cDNA 1700018L02 gene,1700018L02Rik,,10090,MGI:1914579
69397,69397,RIKEN cDNA 1700019A02 gene,1700019A02Rik,,10090,MGI:1916647
67080,67080,RIKEN cDNA 1700019D03 gene,1700019D03Rik,"2410136C24Rik, smAKAP",10090,MGI:1914330
69423,69423,RIKEN cDNA 1700019M22 gene,1700019M22Rik,,10090,MGI:1916673
67507,67507,RIKEN cDNA 1700019N19 gene,1700019N19Rik,,10090,MGI:1914757
75656,75656,RIKEN cDNA 1700020A23 gene,1700020A23Rik,,10090,MGI:1922906
66330,66330,RIKEN cDNA 1700020L24 gene,1700020L24Rik,,10090,MGI:1913580
67692,67692,RIKEN cDNA 1700020N01 gene,1700020N01Rik,,10090,MGI:1914942
67086,67086,RIKEN cDNA 1700020N18 gene,1700020N18Rik,,10090,MGI:1914336
72221,72221,RIKEN cDNA 1700021F07 gene,1700021F07Rik,,10090,MGI:1919471
72252,72252,glycerol-3-phosphate dehydrogenase 1-like pseudogene,1700022A21Rik,,10090,MGI:1919502
67317,67317,RIKEN cDNA 1700022I11 gene,1700022I11Rik,,10090,MGI:1914567
67085,67085,RIKEN cDNA 1700024G13 gene,1700024G13Rik,C10orf53,10090,MGI:1914335
72211,72211,RIKEN cDNA 1700025C18 gene,1700025C18Rik,,10090,MGI:1919461
69399,69399,RIKEN cDNA 1700025G04 gene,1700025G04Rik,"2610510E02Rik, 2900042O04Rik",10090,MGI:1916649
70371,70371,RIKEN cDNA 1700026D11 gene,1700026D11Rik,,10090,MGI:1917621
70001,70001,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 pseudogene,1700028B04Rik,,10090,MGI:1917251
70004,70004,RIKEN cDNA 1700028J19 gene,1700028J19Rik,,10090,MGI:1917254
76421,76421,RIKEN cDNA 1700028K03 gene,1700028K03Rik,"SCRE, Spo16",10090,MGI:1923671
69460,69460,RIKEN cDNA 1700028M03 gene,1700028M03Rik,,10090,MGI:1916710
66479,66479,RIKEN cDNA 1700029F12 gene,1700029F12Rik,,10090,MGI:1913729
66501,66501,RIKEN cDNA 1700029H14 gene,1700029H14Rik,,10090,MGI:1913751
75641,75641,RIKEN cDNA 1700029I15 gene,1700029I15Rik,1700021K07Rik,10090,MGI:1916742
69479,69479,RIKEN cDNA 1700029J07 gene,1700029J07Rik,,10090,MGI:1916729
73937,73937,RIKEN cDNA 1700029M20 gene,1700029M20Rik,4930406E24Rik,10090,MGI:1913597
69513,69513,RIKEN cDNA 1700030C10 gene,1700030C10Rik,,10090,MGI:1916763
69528,69528,RIKEN cDNA 1700030J22 gene,1700030J22Rik,,10090,MGI:1916778
72254,72254,RIKEN cDNA 1700030K09 gene,1700030K09Rik,,10090,MGI:1919504
73300,73300,RIKEN cDNA 1700031F05 gene,1700031F05Rik,,10090,MGI:1920550
73302,73302,RIKEN cDNA 1700031M16 gene,1700031M16Rik,4930413L20Rik,10090,MGI:1920552
78414,78414,RIKEN cDNA 1700034E13 gene,1700034E13Rik,,10090,MGI:1925664
98736,98736,RIKEN cDNA 1700034H15 gene,1700034H15Rik,4930557M11Rik,10090,MGI:1921515
73344,73344,RIKEN cDNA 1700034J05 gene,1700034J05Rik,,10090,MGI:1920594
73261,73261,RIKEN cDNA 1700037C18 gene,1700037C18Rik,2810022L20Rik,10090,MGI:1920511
67326,67326,RIKEN cDNA 1700037H04 gene,1700037H04Rik,,10090,MGI:1914576
67319,67319,RIKEN cDNA 1700041C23 gene,1700041C23Rik,,10090,MGI:1914569
67321,67321,RIKEN cDNA 1700044K03 gene,1700044K03Rik,,10090,MGI:1914571
67330,67330,RIKEN cDNA 1700047M11 gene,1700047M11Rik,,10090,MGI:1914580
69430,69430,RIKEN cDNA 1700048O20 gene,1700048O20Rik,1700022O21Rik,10090,MGI:1920637
100039727,100039727,RIKEN cDNA 1700049E15 gene,1700049E15Rik,Gm15761,10090,MGI:1920644
108950,108950,hematological and neurological expressed 1-like pseudogene,1700049L16Rik,,10090,MGI:1920633
67340,67340,RIKEN cDNA 1700052I22 gene,1700052I22Rik,,10090,MGI:1914590
73431,73431,RIKEN cDNA 1700052K11 gene,1700052K11Rik,,10090,MGI:1920681
67336,67336,RIKEN cDNA 1700054K19 gene,1700054K19Rik,,10090,MGI:1914586
73363,73363,RIKEN cDNA 1700056E22 gene,1700056E22Rik,,10090,MGI:1920613
78459,78459,RIKEN cDNA 1700057G04 gene,1700057G04Rik,,10090,MGI:1925709
73399,73399,RIKEN cDNA 1700060C20 gene,1700060C20Rik,,10090,MGI:1920649
73410,73410,RIKEN cDNA 1700065D16 gene,1700065D16Rik,,10090,MGI:1920660
73467,73467,RIKEN cDNA 1700066M21 gene,1700066M21Rik,,10090,MGI:1920717
74916,74916,RIKEN cDNA 1700066O22 gene,1700066O22Rik,"4930500F21Rik, 4930515O13Rik, 4930542C11Rik",10090,MGI:1920651
73453,73453,RIKEN cDNA 1700067K01 gene,1700067K01Rik,,10090,MGI:1920703
68224,68224,RIKEN cDNA 1700067P10 gene,1700067P10Rik,,10090,MGI:1915474
381707,381707,RIKEN cDNA 1700069L16 gene,1700069L16Rik,1700096P12Rik,10090,MGI:1920726
237880,237880,RIKEN cDNA 1700071K01 gene,1700071K01Rik,,10090,MGI:3588264
381827,381827,ribosomal protein L7 pseudogene,1700073E17Rik,,10090,MGI:1920734
67350,67350,RIKEN cDNA 1700084E18 gene,1700084E18Rik,,10090,MGI:1914600
73486,73486,ribosomal protein L7-like 1 pseudogene,1700084J12Rik,,10090,MGI:1920736
74284,74284,RIKEN cDNA 1700086L19 gene,1700086L19Rik,1700006L05Rik,10090,MGI:1921534
73516,73516,RIKEN cDNA 1700086O06 gene,1700086O06Rik,,10090,MGI:1920766
27660,27660,RIKEN cDNA 1700088E04 gene,1700088E04Rik,ESTJ0827E04,10090,MGI:1920774
67358,67358,RIKEN cDNA 1700093K21 gene,1700093K21Rik,b2b3025Clo,10090,MGI:1914608
67927,67927,RIKEN cDNA 1700096J18 gene,1700096J18Rik,,10090,MGI:1915177
73571,73571,RIKEN cDNA 1700096K18 gene,1700096K18Rik,,10090,MGI:1920821
112418,112418,RIKEN cDNA 1700102P08 gene,1700102P08Rik,,10090,MGI:2148248
73272,73272,RIKEN cDNA 1700108F19 gene,1700108F19Rik,1700020I02Rik,10090,MGI:1920814
68245,68245,RIKEN cDNA 1700108J01 gene,1700108J01Rik,,10090,MGI:1915495
67355,67355,RIKEN cDNA 1700109G14 gene,1700109G14Rik,1700126G13Rik,10090,MGI:1914605
77036,77036,RIKEN cDNA 1700109H08 gene,1700109H08Rik,,10090,MGI:1924286
74305,74305,RIKEN cDNA 1700111N16 gene,1700111N16Rik,,10090,MGI:1921555
76640,76640,RIKEN cDNA 1700113H08 gene,1700113H08Rik,,10090,MGI:1923890
68232,68232,RIKEN cDNA 1700120K04 gene,1700120K04Rik,,10090,MGI:1915482
76639,76639,RIKEN cDNA 1700121N20 gene,1700121N20Rik,,10090,MGI:1923889
76658,76658,RIKEN cDNA 1700123K08 gene,1700123K08Rik,,10090,MGI:1923908
78482,78482,nucleoporin 50 pseudogene,1700123L14Rik,"Npap60, Nup50",10090,MGI:1925732
58248,58248,RIKEN cDNA 1700123O20 gene,1700123O20Rik,MNCb-2990,10090,MGI:1920893
76669,76669,U1-snRNP binding protein homolog pseudogene,1700128F08Rik,,10090,MGI:1923919
67932,67932,RIKEN cDNA 1700129C05 gene,1700129C05Rik,,10090,MGI:1915182
66276,66276,RIKEN cDNA 1810009A15 gene,1810009A15Rik,,10090,MGI:1913526
73626,73626,RIKEN cDNA 1810009J06 gene,1810009J06Rik,,10090,MGI:1920876
69066,69066,RIKEN cDNA 1810010H24 gene,1810010H24Rik,,10090,MGI:1916316
69053,69053,RIKEN cDNA 1810013L24 gene,1810013L24Rik,"1110017P05Rik, 3010002C02Rik, Gm19906, Tapr1",10090,MGI:1916303
66263,66263,RIKEN cDNA 1810014B01 gene,1810014B01Rik,,10090,MGI:1913513
329509,329509,RIKEN cDNA 1810024B03 gene,1810024B03Rik,,10090,MGI:1925560
69155,69155,RIKEN cDNA 1810030O07 gene,1810030O07Rik,,10090,MGI:1916405
67704,67704,RIKEN cDNA 1810037I17 gene,1810037I17Rik,"5730414I01Rik, Aln",10090,MGI:1914954
72056,72056,RIKEN cDNA 1810055G02 gene,1810055G02Rik,,10090,MGI:1919306
67705,67705,RIKEN cDNA 1810058I24 gene,1810058I24Rik,"Mm47, Stmp1",10090,MGI:1914955
75602,75602,RIKEN cDNA 1810062O18 gene,1810062O18Rik,,10090,MGI:1922852
69862,69862,RIKEN cDNA 1810064F22 gene,1810064F22Rik,,10090,MGI:1917112
69864,69864,RIKEN cDNA 1810065E05 gene,1810065E05Rik,,10090,MGI:1917114
69861,69861,RIKEN cDNA 2010003K11 gene,2010003K11Rik,"Faci, Nrnp1",10090,MGI:1917111
69206,69206,RIKEN cDNA 2010016I18 gene,2010016I18Rik,,10090,MGI:1916456
67715,67715,RIKEN cDNA 2010106E10 gene,2010106E10Rik,,10090,MGI:1914965
68355,68355,RIKEN cDNA 2010204K13 gene,2010204K13Rik,"0610010M13Rik, Cip7",10090,MGI:1922859
72093,72093,RIKEN cDNA 2010320M18 gene,2010320M18Rik,,10090,MGI:1919343
72275,72275,RIKEN cDNA 2200002D01 gene,2200002D01Rik,"2010005J02Rik, H2RSP, IMUP, IMUP-1, IMUP-2",10090,MGI:1919525
69147,69147,RIKEN cDNA 2200002J24 gene,2200002J24Rik,,10090,MGI:1916397
67373,67373,RIKEN cDNA 2210010C04 gene,2210010C04Rik,,10090,MGI:1914623
70153,70153,RIKEN cDNA 2210016F16 gene,2210016F16Rik,,10090,MGI:1917403
72357,72357,RIKEN cDNA 2210016L21 gene,2210016L21Rik,Custos,10090,MGI:1919607
72371,72371,RIKEN cDNA 2210408I21 gene,2210408I21Rik,,10090,MGI:1919621
72381,72381,"transcription elongation factor B (SIII), polypeptide 2 pseudogene",2210409E12Rik,,10090,MGI:1919631
70138,70138,RIKEN cDNA 2210417A02 gene,2210417A02Rik,,10090,MGI:1917388
69542,69542,RIKEN cDNA 2300002M23 gene,2300002M23Rik,"Stg, emprin",10090,MGI:1916792
69478,69478,RIKEN cDNA 2300009A05 gene,2300009A05Rik,,10090,MGI:1916728
69517,69517,RIKEN cDNA 2310001K24 gene,2310001K24Rik,,10090,MGI:1916767
71886,71886,RIKEN cDNA 2310002L09 gene,2310002L09Rik,2310003M01Rik,10090,MGI:1916780
69549,69549,RIKEN cDNA 2310009B15 gene,2310009B15Rik,,10090,MGI:1916799
66374,66374,RIKEN cDNA 2310011J03 gene,2310011J03Rik,,10090,MGI:1913624
69548,69548,RIKEN cDNA 2310015A10 gene,2310015A10Rik,5330419I17Rik,10090,MGI:1916798
66367,66367,RIKEN cDNA 2310022A10 gene,2310022A10Rik,,10090,MGI:1913617
69551,69551,RIKEN cDNA 2310022B05 gene,2310022B05Rik,,10090,MGI:1916801
66952,66952,RIKEN cDNA 2310030G06 gene,2310030G06Rik,2610024D04Rik,10090,MGI:1914202
67862,67862,RIKEN cDNA 2310033P09 gene,2310033P09Rik,Mmtag2,10090,MGI:1915112
117172,117172,RIKEN cDNA 2310034C09 gene,2310034C09Rik,,10090,MGI:2152338
67101,67101,RIKEN cDNA 2310039H08 gene,2310039H08Rik,,10090,MGI:1914351
66533,66533,RIKEN cDNA 2310050C09 gene,2310050C09Rik,,10090,MGI:1913783
67719,67719,RIKEN cDNA 2310057J18 gene,2310057J18Rik,"2210414P04Rik, Leg1",10090,MGI:1914969
68277,68277,RIKEN cDNA 2310057M21 gene,2310057M21Rik,"3110040E10Rik, PAAT",10090,MGI:1915527
69696,69696,RIKEN cDNA 2310057N15 gene,2310057N15Rik,Krtap13-1,10090,MGI:1916946
69662,69662,RIKEN cDNA 2310061I04 gene,2310061I04Rik,,10090,MGI:1916912
69661,69661,RIKEN cDNA 2310061N02 gene,2310061N02Rik,,10090,MGI:1916911
70281,70281,RIKEN cDNA 2310068J16 gene,2310068J16Rik,,10090,MGI:1917531
69699,69699,RIKEN cDNA 2310079G19 gene,2310079G19Rik,,10090,MGI:1916949
668661,668661,RIKEN cDNA 2410002F23 gene,2410002F23Rik,,10090,MGI:1914226
66421,66421,RIKEN cDNA 2410004B18 gene,2410004B18Rik,4930572C24Rik,10090,MGI:1913671
73667,73667,RIKEN cDNA 2410004P03 gene,2410004P03Rik,,10090,MGI:1920917
69221,69221,RIKEN cDNA 2410006H16 gene,2410006H16Rik,,10090,MGI:1916471
675325,675325,RIKEN cDNA 2410017I17 gene,2410017I17Rik,,10090,MGI:1916967
69732,69732,RIKEN cDNA 2410018L13 gene,2410018L13Rik,2810480C08Rik,10090,MGI:1916982
76797,76797,RIKEN cDNA 2410137M14 gene,2410137M14Rik,,10090,MGI:1924047
72307,72307,RIKEN cDNA 2510002D24 gene,2510002D24Rik,"2410043I01Rik, DXMgi27, Pants",10090,MGI:1919557
72190,72190,RIKEN cDNA 2510009E07 gene,2510009E07Rik,,10090,MGI:1919440
77034,77034,RIKEN cDNA 2510039O18 gene,2510039O18Rik,Kiaa2013,10090,MGI:1924284
381598,381598,cadherin 11 pseudogene,2610005L07Rik,"2810038F24Rik, 6720476A01Rik",10090,MGI:1914283
72128,72128,RIKEN cDNA 2610008E11 gene,2610008E11Rik,,10090,MGI:1919378
72395,72395,RIKEN cDNA 2610028E06 gene,2610028E06Rik,,10090,MGI:1919645
76964,76964,RIKEN cDNA 2610028H24 gene,2610028H24Rik,ORF67,10090,MGI:1924214
72386,72386,RIKEN cDNA 2610035D17 gene,2610035D17Rik,,10090,MGI:1919636
72139,72139,RIKEN cDNA 2610044O15 gene,2610044O15Rik8,2610044O15Rik,10090,MGI:1919389
72481,72481,RIKEN cDNA 2610203C22 gene,2610203C22Rik,2310007M24Rik,10090,MGI:1919731
67170,67170,RIKEN cDNA 2610306M01 gene,2610306M01Rik,,10090,MGI:1914420
70458,70458,RIKEN cDNA 2610318N02 gene,2610318N02Rik,,10090,MGI:1917708
330173,330173,RIKEN cDNA 2610524H06 gene,2610524H06Rik,,10090,MGI:2447819
66451,66451,RIKEN cDNA 2610528J11 gene,2610528J11Rik,TEMP,10090,MGI:1913701
78449,78449,RIKEN cDNA 2700046A07 gene,2700046A07Rik,A330042I05Rik,10090,MGI:1919803
67188,67188,RIKEN cDNA 2700046G09 gene,2700046G09Rik,,10090,MGI:1914438
76967,76967,RIKEN cDNA 2700049A03 gene,2700049A03Rik,"Ta3, Talpid3, mKIAA0586",10090,MGI:1924217
68046,68046,RIKEN cDNA 2700062C07 gene,2700062C07Rik,,10090,MGI:1915296
72658,72658,RIKEN cDNA 2700097O09 gene,2700097O09Rik,,10090,MGI:1919908
77022,77022,"NDC80 homolog, kinetochore complex component pseudogene",2700099C18Rik,9430041D22Rik,10090,MGI:1924272
66456,66456,RIKEN cDNA 2810001G20 gene,2810001G20Rik,,10090,MGI:1913706
66457,66457,RIKEN cDNA 2810002D19 gene,2810002D19Rik,,10090,MGI:1913707
66523,66523,RIKEN cDNA 2810004N23 gene,2810004N23Rik,"3110004G14Rik, Ayu21-55, Gt(pU21)55Imeg, GtAyu21-55",10090,MGI:1913773
69944,69944,RIKEN cDNA 2810021J22 gene,2810021J22Rik,,10090,MGI:1917194
69953,69953,RIKEN cDNA 2810025M15 gene,2810025M15Rik,,10090,MGI:1917203
72669,72669,RIKEN cDNA 2810032G03 gene,2810032G03Rik,,10090,MGI:1919919
69964,69964,RIKEN cDNA 2810403D21 gene,2810403D21Rik,"1810022M18Rik, 4632410B05Rik",10090,MGI:1917214
69974,69974,RIKEN cDNA 2810405F15 gene,2810405F15Rik,,10090,MGI:1917224
70419,70419,RIKEN cDNA 2810408A11 gene,2810408A11Rik,"1700019L01Rik, 4930470J18Rik",10090,MGI:1917669
76937,76937,RIKEN cDNA 2810429I04 gene,2810429I04Rik,1700024F13Rik,10090,MGI:1924187
77132,77132,RIKEN cDNA 2810433D01 gene,2810433D01Rik,,10090,MGI:1924382
72813,72813,RIKEN cDNA 2810454H06 gene,2810454H06Rik,,10090,MGI:1920063
72792,72792,RIKEN cDNA 2810459M11 gene,2810459M11Rik,,10090,MGI:1920042
67261,67261,RIKEN cDNA 2900005J15 gene,2900005J15Rik,,10090,MGI:1914511
243219,243219,RIKEN cDNA 2900026A02 gene,2900026A02Rik,"8430408O14Rik, A530094D01, Gm449, mKIAA1671",10090,MGI:1920194
78403,78403,RIKEN cDNA 2900041M22 gene,2900041M22Rik,,10090,MGI:1925653
73040,73040,RIKEN cDNA 2900052N01 gene,2900052N01Rik,,10090,MGI:1920290
68204,68204,RIKEN cDNA 2900060B14 gene,2900060B14Rik,,10090,MGI:1915454
620760,620760,RIKEN cDNA 2900079G21 gene,2900079G21Rik,"C130083B14, Gm6179",10090,MGI:1920268
73090,73090,RIKEN cDNA 2900092C05 gene,2900092C05Rik,,10090,MGI:1920340
73100,73100,RIKEN cDNA 2900092D14 gene,2900092D14Rik,,10090,MGI:1920350
378954,378954,glyceraldehyde-3-phosphate dehydrogenase pseudogene,3000002C10Rik,,10090,MGI:3036226
73103,73103,RIKEN cDNA 3110009E18 gene,3110009E18Rik,,10090,MGI:1920353
67289,67289,RIKEN cDNA 3110021A11 gene,3110021A11Rik,,10090,MGI:1914539
67293,67293,RIKEN cDNA 3110039M20 gene,3110039M20Rik,,10090,MGI:1914543
67290,67290,RIKEN cDNA 3110040N11 gene,3110040N11Rik,,10090,MGI:1914540
67304,67304,RIKEN cDNA 3110070M22 gene,3110070M22Rik,,10090,MGI:1914554
73212,73212,RIKEN cDNA 3110082I17 gene,3110082I17Rik,,10090,MGI:1920462
100043232,100043232,RIKEN cDNA 3110099E03 gene,3110099E03Rik,,10090,MGI:1925761
69277,69277,RIKEN cDNA 3300002I08 gene,3300002I08Rik,2900016H11Rik,10090,MGI:1916527
100504518,100504518,RIKEN cDNA 3425401B19 gene,3425401B19Rik,Cefip,10090,MGI:3588196
70691,70691,RIKEN cDNA 3830403N18 gene,3830403N18Rik,Xlrl,10090,MGI:1917941
218734,218734,RIKEN cDNA 3830406C13 gene,3830406C13Rik,,10090,MGI:1917937
100040322,100040322,RIKEN cDNA 3830408C21 gene,3830408C21Rik,,10090,MGI:1917940
665306,665306,RIKEN cDNA 3930402G23 gene,3930402G23Rik,,10090,MGI:1921277
70808,70808,RRS1 ribosome biogenesis regulator homolog pseudogene,4632415L05Rik,,10090,MGI:1918058
666737,666737,RIKEN cDNA 4632427E13 gene,4632427E13Rik,,10090,MGI:1915436
100043102,100043102,RIKEN cDNA 4632428C04 gene,4632428C04Rik,Gm4231,10090,MGI:1921600
320737,320737,RIKEN cDNA 4732416N19 gene,4732416N19Rik,,10090,MGI:2444634
654804,654804,RIKEN cDNA 4732471J01 gene,4732471J01Rik,,10090,MGI:3603586
320965,320965,RIKEN cDNA 4831440E17 gene,4831440E17Rik,,10090,MGI:2445144
74597,74597,RIKEN cDNA 4833418N02 gene,4833418N02Rik,,10090,MGI:1921847
67392,67392,RIKEN cDNA 4833420G17 gene,4833420G17Rik,"2210017J06Rik, 5730533D17Rik",10090,MGI:1914642
373852,373852,RIKEN cDNA 4833422C13 gene,4833422C13Rik,,10090,MGI:3603826
97820,97820,RIKEN cDNA 4833439L19 gene,4833439L19Rik,"4930558H15Rik, Kiaa1191, P33monox",10090,MGI:1921162
70909,70909,RIKEN cDNA 4921504E06 gene,4921504E06Rik,4921522E24Rik,10090,MGI:1918087
70821,70821,RIKEN cDNA 4921507P07 gene,4921507P07Rik,TISP74,10090,MGI:1918071
381393,381393,RIKEN cDNA 4921509C19 gene,4921509C19Rik,Gm1005,10090,MGI:2685851
245598,245598,high density lipoprotein (HDL) binding protein pseudogene,4921511C20Rik,Gm383,10090,MGI:2685229
70900,70900,RIKEN cDNA 4921517D22 gene,4921517D22Rik,,10090,MGI:1918150
66714,66714,RIKEN cDNA 4921524J17 gene,4921524J17Rik,,10090,MGI:1913964
70901,70901,RIKEN cDNA 4921524L21 gene,4921524L21Rik,,10090,MGI:1918151
66730,66730,RIKEN cDNA 4921531C22 gene,4921531C22Rik,,10090,MGI:1913980
664619,664619,PRP18 pre-mRNA processing factor 18 homolog pseudogene,4921533I20Rik,,10090,MGI:3613759
67430,67430,RIKEN cDNA 4921536K21 gene,4921536K21Rik,,10090,MGI:1914680
70941,70941,RIKEN cDNA 4921539E11 gene,4921539E11Rik,,10090,MGI:1918191
74854,74854,RIKEN cDNA 4930402F06 gene,4930402F06Rik,,10090,MGI:1922104
67394,67394,RIKEN cDNA 4930404I05 gene,4930404I05Rik,,10090,MGI:1914644
